Symbol,preds,p
gene491,1,0.00390625
gene493,1,0.0
gene494,1,0.00390625
gene496,1,0.0
gene497,1,0.0
gene498,1,0.0
gene5,1,0.0
gene504,1,0.0
gene508,1,0.0
gene513,1,0.0
gene514,1,0.0
gene516,1,0.0
gene517,1,0.0078125
gene520,1,0.0
gene522,1,0.0
gene523,1,0.0
gene524,1,0.0078125
gene526,1,0.00390625
gene527,1,0.0
gene528,1,0.0
gene529,1,0.0
gene53,1,0.0
gene531,1,0.0
gene533,1,0.0
gene536,1,0.0
gene54,1,0.0
gene540,1,0.00390625
gene541,1,0.0
gene542,1,0.0
gene543,1,0.0
gene544,1,0.0
gene545,1,0.00390625
gene546,1,0.0
gene548,1,0.0
gene549,1,0.0
gene550,1,0.0
gene552,1,0.0
gene553,1,0.0
gene555,1,0.015625
gene556,1,0.0
gene558,1,0.0
gene56,1,0.00390625
gene560,1,0.0
gene561,1,0.0
gene563,1,0.0
gene564,1,0.0
gene567,1,0.0
gene568,1,0.0
gene57,1,0.0
gene570,1,0.03125
gene572,1,0.0
gene573,1,0.0
gene574,1,0.00390625
gene577,1,0.0
gene578,1,0.00390625
gene579,1,0.0
gene580,1,0.0
gene582,1,0.0
gene583,1,0.0
gene585,1,0.0
gene586,1,0.0
gene587,1,0.0
gene589,1,0.0
gene590,1,0.0
gene591,1,0.00390625
gene592,1,0.0
gene594,1,0.0
gene595,1,0.01171875
gene597,1,0.0
gene599,1,0.0078125
gene6,1,0.0078125
gene60,1,0.0390625
gene601,1,0.015625
gene605,1,0.0078125
gene606,1,0.00390625
gene609,1,0.0078125
gene613,1,0.0
gene614,1,0.0
gene615,1,0.0
gene617,1,0.0
gene62,1,0.00390625
gene622,1,0.0
gene623,1,0.0
gene625,1,0.0078125
gene627,1,0.03515625
gene628,1,0.0
gene629,1,0.0
gene63,1,0.0
gene631,1,0.0078125
gene632,1,0.0
gene634,1,0.0
gene635,1,0.0
gene636,1,0.0
gene639,1,0.00390625
gene64,1,0.00390625
gene641,1,0.0
gene642,1,0.0
gene643,1,0.0
gene644,1,0.0078125
gene648,1,0.0
gene649,1,0.0
gene65,1,0.0
gene651,1,0.0
gene652,1,0.0
gene653,1,0.0
gene654,1,0.00390625
gene659,1,0.0
gene660,1,0.0
gene661,1,0.0
gene664,1,0.0
gene665,1,0.0
gene667,1,0.0078125
gene671,1,0.00390625
gene672,1,0.0
gene673,1,0.0
gene674,1,0.0
gene678,1,0.0
gene679,1,0.00390625
gene68,1,0.0
gene680,1,0.0
gene682,1,0.0
gene683,1,0.0
gene684,1,0.0
gene685,1,0.01171875
gene686,1,0.00390625
gene687,1,0.0
gene688,1,0.01953125
gene689,1,0.0
gene69,1,0.0
gene690,1,0.01953125
gene691,1,0.0
gene693,1,0.0
gene696,1,0.0
gene698,1,0.0
gene699,1,0.0234375
gene7,1,0.0
gene700,1,0.0078125
gene701,1,0.0
gene704,1,0.0
gene709,1,0.0
gene71,1,0.04296875
gene710,1,0.0
gene712,1,0.0
gene714,1,0.0
gene717,1,0.0
gene719,1,0.0
gene722,1,0.00390625
gene73,1,0.0
gene730,1,0.0
gene731,1,0.0
gene732,1,0.0
gene733,1,0.0
gene734,1,0.00390625
gene735,1,0.0
gene736,1,0.0
gene737,1,0.0
gene738,1,0.0
gene739,1,0.04296875
gene740,1,0.0
gene743,1,0.0
gene744,1,0.0
gene745,1,0.0
gene747,1,0.0
gene748,1,0.00390625
gene749,1,0.0
gene75,1,0.015625
gene750,1,0.0
gene753,1,0.0
gene755,1,0.0078125
gene756,1,0.00390625
gene757,1,0.0
gene758,1,0.0
gene759,1,0.0
gene76,1,0.00390625
gene761,1,0.0234375
gene763,1,0.0078125
gene767,1,0.0
gene772,1,0.00390625
gene773,1,0.0
gene774,1,0.0
gene776,1,0.0
gene779,1,0.0234375
gene780,1,0.0
gene781,1,0.00390625
gene783,1,0.0
gene784,1,0.0
gene786,1,0.046875
gene788,1,0.00390625
gene789,1,0.015625
gene790,1,0.0
gene791,1,0.00390625
gene794,1,0.0
gene796,1,0.0
gene798,1,0.00390625
gene8,1,0.0
gene80,1,0.0
gene802,1,0.0078125
gene803,1,0.0
gene806,1,0.0
gene807,1,0.0
gene808,1,0.0
gene809,1,0.0
gene810,1,0.0
gene811,1,0.0
gene812,1,0.0
gene814,1,0.0
gene815,1,0.0
gene817,1,0.0
gene818,1,0.0234375
gene819,1,0.0078125
gene82,1,0.0
gene821,1,0.0
gene823,1,0.00390625
gene825,1,0.0
gene827,1,0.0
gene828,1,0.0
gene830,1,0.00390625
gene835,1,0.0
gene836,1,0.0
gene839,1,0.0
gene841,1,0.0
gene842,1,0.0
gene845,1,0.015625
gene846,1,0.0
gene848,1,0.0
gene849,1,0.01171875
gene85,1,0.0
gene850,1,0.0078125
gene851,1,0.0
gene852,1,0.00390625
gene854,1,0.0
gene858,1,0.0
gene859,1,0.0
gene86,1,0.0234375
gene861,1,0.0
gene863,1,0.00390625
gene87,1,0.0078125
gene870,1,0.0234375
gene872,1,0.01953125
gene875,1,0.0
gene879,1,0.0
gene88,1,0.0
gene880,1,0.01171875
gene881,1,0.0
gene888,1,0.0
gene89,1,0.0
gene894,1,0.0
gene895,1,0.02734375
gene897,1,0.0
gene899,1,0.0
gene9,1,0.0
gene90,1,0.015625
gene906,1,0.0
gene907,1,0.00390625
gene909,1,0.015625
gene911,1,0.0
gene914,1,0.0
gene916,1,0.0
gene917,1,0.0
gene918,1,0.0
gene919,1,0.04296875
gene92,1,0.0
gene928,1,0.0
gene929,1,0.0
gene932,1,0.00390625
gene935,1,0.0
gene937,1,0.0
gene938,1,0.0
gene939,1,0.0
gene940,1,0.0
gene941,1,0.0
gene942,1,0.0
gene943,1,0.0
gene944,1,0.01171875
gene948,1,0.0
gene949,1,0.00390625
gene950,1,0.0
gene951,1,0.0
gene952,1,0.0
gene956,1,0.0
gene957,1,0.0
gene959,1,0.0
gene962,1,0.0
gene964,1,0.0
gene967,1,0.0
gene97,1,0.0
gene973,1,0.0
gene974,1,0.02734375
gene975,1,0.0
gene977,1,0.00390625
gene98,1,0.0
gene983,1,0.0
gene985,1,0.0
gene989,1,0.0
gene99,1,0.01953125
gene994,1,0.0
gene996,1,0.0
gene997,1,0.0
gene999,1,0.0
