Symbol,preds,p
gene687,1,0.00390625
gene692,1,0.00390625
gene698,1,0.0390625
gene699,1,0.0234375
gene70,1,0.04296875
gene702,1,0.00390625
gene703,1,0.046875
gene706,1,0.015625
gene713,1,0.01171875
gene714,1,0.00390625
gene717,1,0.01953125
gene719,1,0.0234375
gene722,1,0.015625
gene726,1,0.03125
gene728,1,0.00390625
gene73,1,0.046875
gene730,1,0.00390625
gene731,1,0.01953125
gene732,1,0.03515625
gene737,1,0.046875
gene742,1,0.0
gene744,1,0.00390625
gene749,1,0.03515625
gene75,1,0.0078125
gene750,1,0.015625
gene754,1,0.0078125
gene758,1,0.046875
gene76,1,0.01953125
gene761,1,0.0078125
gene764,1,0.0078125
gene765,1,0.03125
gene771,1,0.02734375
gene772,1,0.015625
gene778,1,0.03125
gene779,1,0.0390625
gene78,1,0.02734375
gene781,1,0.02734375
gene782,1,0.0390625
gene785,1,0.0078125
gene787,1,0.00390625
gene788,1,0.0234375
gene79,1,0.01171875
gene793,1,0.0078125
gene8,1,0.0390625
gene805,1,0.03125
gene813,1,0.00390625
gene816,1,0.00390625
gene820,1,0.0078125
gene821,1,0.0390625
gene826,1,0.00390625
gene829,1,0.01171875
gene83,1,0.01171875
gene844,1,0.01953125
gene846,1,0.02734375
gene849,1,0.00390625
gene85,1,0.02734375
gene852,1,0.02734375
gene853,1,0.03515625
gene855,1,0.0234375
gene857,1,0.01171875
gene858,1,0.0234375
gene86,1,0.00390625
gene860,1,0.046875
gene861,1,0.00390625
gene863,1,0.04296875
gene865,1,0.015625
gene871,1,0.01171875
gene874,1,0.0
gene877,1,0.0234375
gene890,1,0.03515625
gene891,1,0.02734375
gene893,1,0.00390625
gene894,1,0.0234375
gene895,1,0.046875
gene901,1,0.0078125
gene906,1,0.0390625
gene909,1,0.03515625
gene913,1,0.0390625
gene922,1,0.015625
gene925,1,0.02734375
gene928,1,0.04296875
gene929,1,0.01171875
gene93,1,0.02734375
gene930,1,0.0
gene933,1,0.0078125
gene935,1,0.0234375
gene936,1,0.02734375
gene937,1,0.046875
gene938,1,0.0078125
gene939,1,0.046875
gene944,1,0.00390625
gene945,1,0.01953125
gene947,1,0.0234375
gene95,1,0.0234375
gene951,1,0.03515625
gene957,1,0.015625
gene961,1,0.0078125
gene962,1,0.02734375
gene965,1,0.00390625
gene97,1,0.01171875
gene970,1,0.0078125
gene975,1,0.01171875
gene978,1,0.0078125
gene985,1,0.0
gene988,1,0.0390625
gene99,1,0.046875
gene990,1,0.0078125
gene991,1,0.0078125
gene993,1,0.01953125
gene995,1,0.00390625
gene996,1,0.03125
gene998,1,0.02734375
